191__a,71020a,65117a,71127a,65007a,245__,246__,246__(2),246__(3),079__,269__,coverage,500__,020__a,022__a,en_id,fr_id,es_id,ru_id,dl
E/NL.1952/5,United Kingdom,MALTA,,NARCOTIC DRUGS,"$a Malta, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Malte, communiqués par le gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1952-01-01 0:00:00,1950-01-01 0:00:00,,,,420337,421402,,,n
E/NL.1958/65,United Kingdom,MALTA,,NARCOTIC DRUGS,"$a Malta, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,1958-01-01 0:00:00,1957-01-01 0:00:00,,,,419363,,,,n
E/NL.1961/72-74,Morocco,MOROCCO,,NARCOTIC DRUGS,"$a Maroc :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,,1961-01-01 0:00:00,1960-01-01 0:00:00,,,,,418669,,,n
E/NL.1969/17,Morocco,MOROCCO,,NARCOTIC DRUGS,$a Maroc :$b Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants,,,,,1969-01-01 0:00:00,1966-01-01 0:00:00,,,,,418540,,,n
E/NL.1975/32,Morocco,MOROCCO,,NARCOTIC DRUGS,$a Maroc :$b Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants,,,,,1975-01-01 0:00:00,1974-01-01 0:00:00,,,,,418387,,,n
E/NL.1993/52-53,Morocco,MOROCCO,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Maroc :$b Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,,1993-01-01 0:00:00,1977-01-01 0:00:00,,,,,422366,,,y
E/NL.1997/11,Morocco,MOROCCO,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Maroc :$b Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,,1997-01-01 0:00:00,1996-01-01 0:00:00,,,,,418477,,,y
E/NL.1993/51,Mauritania,MAURITANIA,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mauritanie :$b Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,,1993-01-01 0:00:00,1993-01-01 0:00:00,,,,,421253,,,y
E/NL.1991/6,Mauritania,MAURITANIA,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mauritanie :$b Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,,1991-01-01 0:00:00,1990-01-01 0:00:00,,,,,420234,,,y
E/NL.1949/10,Mauritius,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius :$b Laws and regulations communicated in compliance with the terms of the Convention for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs of 13 July 1931, as amended by the Protocol of 11 December 1946","$a Île Maurice :$b Lois et règlements communiqués conformément aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1949-01-01 0:00:00,1948-01-01 0:00:00,,,,418937,419706,,,n
E/NL.1985/32,Mauritius,MAURITIUS,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mauritius :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,1985-01-01 0:00:00,1984-01-01 0:00:00,,,,422224,,,,y
E/NL.1981/17,Mauritius,MAURITIUS,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mauritius :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,1981-01-01 0:00:00,1974-01-01 00:00:00||1981-01-01 00:00:00,,,,420897,,,,y
E/NL.1976/43,Mauritius,MAURITIUS,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mauritius :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,1976-01-01 0:00:00,1974-01-01 0:00:00,,,,420545,,,,y
E/NL.1992/17,Mauritius,MAURITIUS,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mauritius :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,1992-01-01 0:00:00,1983-01-01 0:00:00,,,,420355,,,,y
E/NL.1996/52,Mauritius,MAURITIUS,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mauritius :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,1996-01-01 0:00:00,1995-01-01 0:00:00,,,,419548,,,,y
E/NL.1987/8,Mauritius,MAURITIUS,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mauritius :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,1987-01-01 0:00:00,1986-01-01 0:00:00,,,,418430,,,,y
E/NL.1977/86-87,Mauritius,MAURITIUS,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mauritius :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,1977-01-01 0:00:00,1974-01-01 00:00:00||1976-01-01 00:00:00,,,,417953,,,,y
E/NL.1948/3,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the government of the United Kingdom :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a L'Île Maurice, communiqués par le gouvernement du Royaume-Uni :$b Lois et règlements communiqués conformément aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1948-01-01 0:00:00,1947-01-01 0:00:00,,,,421223,420023,,,n
E/NL.1960/87,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,1960-01-01 0:00:00,1960-01-01 0:00:00,,,,422343,,,,n
E/NL.1961/112-114,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,1961-01-01 0:00:00,1961-01-01 0:00:00,,,,421881,,,,n
E/NL.1955/50,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Île Maurice, communiqués par le gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1955-01-01 0:00:00,1954-01-01 0:00:00,,,,418755,421676,,,n
E/NL.1954/24-27,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Maurice, communiqués par le gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1954-01-01 0:00:00,1953-01-01 0:00:00,,,,421588,421410,,,n
E/NL.1954/56,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Île Maurice, communiqués par le gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1954-01-01 0:00:00,1953-01-01 0:00:00,,,,421982,420280,,,n
E/NL.1961/22-25,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,1961-01-01 0:00:00,1960-01-01 0:00:00,,,,421980,,,,n
E/NL.1964/22,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,1964-01-01 0:00:00,1963-01-01 0:00:00,,,,421218,,,,n
E/NL.1952/51-52,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Île Maurice, communiqués par le gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1952-01-01 0:00:00,1951-01-01 0:00:00,,,,420871,421006,,,n
E/NL.1956/32-34,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Île Maurice, communiqués par le gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1956-01-01 0:00:00,1955-01-01 0:00:00,,,,421343,420616,,,n
E/NL.1957/33-34,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Île Maurice, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1957-01-01 0:00:00,1956-01-01 0:00:00,,,,418655,420807,,,n
E/NL.1951/28,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Île Maurice, communiqués par le gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1951-01-01 0:00:00,1950-01-01 0:00:00,,,,420244,420676,,,n
E/NL.1954/118,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Île Maurice, communiqués par le gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1954-01-01 0:00:00,1954-01-01 0:00:00,,,,418097,420093,,,n
E/NL.1951/16,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Île Maurice, communiqués par le gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1951-01-01 0:00:00,1950-01-01 0:00:00,,,,419035,420021,,,n
E/NL.1958/69,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,1958-01-01 0:00:00,1958-01-01 0:00:00,,,,419892,,,,n
E/NL.1965/52-54,United Kingdom,MAURITIUS,,NARCOTIC DRUGS,"$a Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs",,,,,1965-01-01 0:00:00,1963-01-01 0:00:00,,,,420814,,,,n
O.C.1096,League of Nations,,,NARCOTIC DRUGS||OPIUM,"$a Memorandum by the British representative on the different results reached by the processes laid down in the different pharmacopoeias for ascertaining the percentage of morphine in opium, Geneva, December 13th, 1929",,,,,1929-01-01 0:00:00,1929-01-01 0:00:00,,,,419783,,,,n
O.C.656||F.7259/289/87,League of Nations,,,NARCOTIC DRUGS||OPIUM,$a Memorandum on the subject of the illicit activities of Monsieur Henri de Monfried :$b communicated by the British Government,,,,,1927-01-01 0:00:00,1927-01-01 0:00:00,,,,422039,,,,n
O.C.1499,,,,NARCOTIC DRUGS||DRUG ABUSE,"$a Mesures prises contre la toxicomanie en Colombie, Genève, le 15 novembre 1933",,,,,1933-01-01 0:00:00,1933-01-01 0:00:00,,,,,419334,,,n
O.C.1539,,,,NARCOTIC DRUGS,"$a Mesures prises par les Gouvernements contre l'abus des stupéfiants et pour prévenir la propagation de cet abus, Genève, le 15 mai 1934",,,,,1934-01-01 0:00:00,1934-01-01 0:00:00,,,,,420024,,,n
E/NL.1950/65,Mexico,MEXICO,,NARCOTIC DRUGS,"$a Mexico :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Mexique :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1950-01-01 0:00:00,1937-01-01 00:00:00||1950-01-01 00:00:00,,,,421565,421181,,,n
E/NL.1955/35,Mexico,MEXICO,,NARCOTIC DRUGS,"$a Mexico :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Mexique :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1955-01-01 0:00:00,1955-01-01 0:00:00,,,,421113,420252,,,n
E/NL.1962/84-87,Mexico,MEXICO,,NARCOTIC DRUGS,"$a Mexico :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,$a México :$b Leyes y reglamentos promulgados para dar efecto a las disposiciones de la Convención de 13 de julio de 1931 para limitar la fabricación y reglamentar la distribución de estupefacientes modificada por el Protocolo de 11 de diciembre de 1946,,,1962-01-01 0:00:00,1947-01-01 0:00:00,,,,418222,,421024,,n
E/NL.1950/110,Mexico,MEXICO,,NARCOTIC DRUGS,"$a Mexico :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Mexique :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1950-01-01 0:00:00,1950-01-01 0:00:00,,,,418172,419541,,,n
E/NL.1971/40,Mexico,MEXICO,,NARCOTIC DRUGS,$a Mexico :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs,,$a México :$b Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes,,,1971-01-01 0:00:00,1971-01-01 0:00:00,,,,420296,,420656,,n
E/NL.1968/51,Mexico,MEXICO,,NARCOTIC DRUGS,$a Mexico :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs,,$a México :$b Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes,,,1968-01-01 0:00:00,1968-01-01 0:00:00,,,,418723,,420040,,n
E/NL.1977/1,Mexico,MEXICO,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mexico :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,$a México :$b Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,,1977-01-01 0:00:00,1976-01-01 0:00:00,,,,421266,,422338,,y
E/NL.1993/19,Mexico,MEXICO,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mexico :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,$a México :$b Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,,1993-01-01 0:00:00,1990-01-01 0:00:00,,,,421601,,419652,,y
E/NL.1977/37-38,Mexico,MEXICO,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mexico :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,$a México :$b Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,,1977-01-01 0:00:00,1976-01-01 00:00:00||1973-01-01 00:00:00,,,,421220,,418601,,y
E/NL.1977/85,Mexico,MEXICO,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mexico :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,$a México :$b Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,,1977-01-01 0:00:00,1976-01-01 0:00:00,,,,418127,,420184,,y
E/NL.1981/3,Mexico,MEXICO,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mexico :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,$a México :$b Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,,1981-01-01 0:00:00,1981-01-01 0:00:00,,,,419627,,420171,,y
E/NL.1989/45-46,Mexico,MEXICO,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mexico :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,$a México :$b Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,,1989-01-01 0:00:00,1989-01-01 0:00:00,,,,420076,,418227,,y
E/NL.1986/36,Mexico,MEXICO,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mexico :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,$a México :$b Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,,1986-01-01 0:00:00,1985-01-01 0:00:00,,,,418989,,419472,,y
E/NL.1976/17,Mexico,MEXICO,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Mexico :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,$a México :$b Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,,1976-01-01 0:00:00,1974-01-01 0:00:00,,,,422312,,421289,,n
Conferencia/7,,,,,"$a Ministerio de salud publica y asistencia social :$b Considerando … Lima, 14 al 21 de diciembre de 1964",,,,,1935-01-01 0:00:00,1964-01-01 0:00:00,,,,,,418965,,n
C.393.M.136.1926.XI,League of Nations,,,NARCOTIC DRUGS||OPIUM,"$a Minutes of the eighth session held at Geneva from May 26th to June 8th, 1926",,,,,1926-01-01 0:00:00,1926-01-01 0:00:00,"Publications of the League of Nations, XIi. Opium and other dangerous drugs, 1926. XI. 4",,,420977,,,,n
C.418.M.184.1923.XI,League of Nations,,,NARCOTIC DRUGS||OPIUM,"$a Minutes of the fifth session held at Geneva, from May 24th to June 7th, 1923",,,,,1923-01-01 0:00:00,1923-01-01 0:00:00,,,,418556,,,,n
C.155.M.75.1923.XI,League of Nations,,,NARCOTIC DRUGS||OPIUM,"$a Minutes of the fourth session held at Geneva from January 8th to 14th, 1923",,,,,1923-01-01 0:00:00,1923-01-01 0:00:00,,,,421079,,,,n
C.33.M.14.1935.XI,League of Nations,,,NARCOTIC DRUGS||OPIUM,"$a Minutes of the nineteenth session held at Geneva from November 15th to November 28th, 1934",,,,,1935-01-01 0:00:00,1934-01-01 0:00:00,"Series of League of Nations publications : XI. Opium and other dangerous drugs, 1935. XI.1",,,421488,,,,n
C.416.M.254.1922.XI,League of Nations,,,NARCOTIC DRUGS||OPIUM,"$a Minutes of the second session held at Geneva from April 19th to 29th, 1922",,,,,1922-01-01 0:00:00,1922-01-01 0:00:00,Commission consultative du trafic de l'opium,,,420389,,,,n
C.602.M.192.1925.XI,League of Nations,,,NARCOTIC DRUGS||OPIUM,"$a Minutes of the seventh session held at Geneva from August 24th to 31st, 1925",,,,,1925-01-01 0:00:00,1925-01-01 0:00:00,,,,419547,,,,n
C.397.M.146.1924.XI,League of Nations,,,NARCOTIC DRUGS||OPIUM,"$a Minutes of the sixth session held at Geneva from August 4th to 14th, 1924",,,,,1924-01-01 0:00:00,1924-01-01 0:00:00,,,,421749,,,,n
C.557.M.199.1927.XI,League of Nations,,,NARCOTIC DRUGS||OPIUM,"$a Minutes of the tenth (extraordinary) session held at Geneva from September 28th to October 8th, 1927",,,,,1927-01-01 0:00:00,1927-01-01 0:00:00,,,,420208,,,,n
C.72.M.27.1923.XI,League of Nations,,,NARCOTIC DRUGS||OPIUM,"$a Minutes of the Third (Emergency) Session Held at Geneva on September 1st, 1922",,,,,1923-01-01 0:00:00,1922-01-01 0:00:00,,,,419331,,,,n
C.277.M.144.1935.XI,League of Nations,,,NARCOTIC DRUGS||OPIUM,"$a Minutes of the twentieth session held at Geneva from May 20th to June 5th, 1935",,,,,1935-01-01 0:00:00,1935-01-01 0:00:00,"Series of League of Nations publications : XI. Opium and other dangerous drugs, 1935. XI. 6",,,421806,,,,n
C.290.M.176.1936.XI,League of Nations,,,NARCOTIC DRUGS||OPIUM,"$a Minutes of the twenty-first session held at Geneva from May 18th to June 5th, 1936",,,,,1936-01-01 0:00:00,1936-01-01 0:00:00,,,,420569,,,,n
E/NL.1956/22,Monaco,MONACO,,NARCOTIC DRUGS,"$a Monaco :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Monaco :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1956-01-01 0:00:00,1953-01-01 0:00:00,,,,421878,419841,,,n
E/NL.1974/10,Monaco,MONACO,,NARCOTIC DRUGS,$a Monaco :$b Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants,,,,,1974-01-01 0:00:00,1972-01-01 0:00:00,,,,,420734,,,n
E/NL.1969/1,Monaco,MONACO,,NARCOTIC DRUGS,$a Monaco :$b Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants,,,,,1969-01-01 0:00:00,1968-01-01 0:00:00,,,,,419902,,,n
E/NL.1972/9,Monaco,MONACO,,NARCOTIC DRUGS,$a Monaco :$b Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants,,,,,1972-01-01 0:00:00,1970-01-01 0:00:00,,,,,419218,,,n
E/NL.1995/33-34,Monaco,MONACO,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Monaco :$b Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,,1995-01-01 0:00:00,1993-01-01 0:00:00,,,,,422121,,,n
E/NL.1980/22,Montserrat,MONTSERRAT,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Montserrat :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,1980-01-01 0:00:00,1979-01-01 0:00:00,,,,421361,,,,y
